,lat,lon,address
0,37.656933333333335,-122.53026666666668,"California, us"
1,37.656933333333335,-122.52430370370371,"California, us"
2,37.656933333333335,-122.51834074074075,"California, us"
3,37.656933333333335,-122.51237777777779,"California, 94015, us"
4,37.656933333333335,-122.50641481481482,"California, 94015, us"
5,37.656933333333335,-122.50045185185186,"California, 94044, us"
6,37.656933333333335,-122.4944888888889,"California, 94044, us"
7,37.656933333333335,-122.48852592592593,"Coral Ridge Drive, California, 94044, us"
8,37.656933333333335,-122.48256296296297,"Catalina Avenue, California, 94044, us"
9,37.656933333333335,-122.4766,"Lynbrook Drive, California, 94044, us"
10,37.656933333333335,-122.47063703703705,"Callan Boulevard, California, 94015, us"
11,37.656933333333335,-122.46467407407408,"Gellert Boulevard, California, 94015, us"
12,37.656933333333335,-122.45871111111111,"Junipero Serra Freeway, California, 94014, us"
13,37.656933333333335,-122.45274814814816,"Lamonte Avenue, California, 94080, us"
14,37.656933333333335,-122.44678518518519,"Nyla Avenue, California, 94080, us"
15,37.656933333333335,-122.44082222222222,"Carmelo Lane, California, 94080, us"
16,37.656933333333335,-122.43485925925927,"Antoinette Lane, California, 94080, us"
17,37.656933333333335,-122.4288962962963,"Commercial Avenue, California, 94080, us"
18,37.656933333333335,-122.42293333333333,"Baden Avenue, California, 94080, us"
19,37.656933333333335,-122.41697037037038,"Grand Avenue, California, 94080, us"
20,37.656933333333335,-122.41100740740741,"Tamarack Lane, California, 94080, us"
21,37.656933333333335,-122.40504444444444,"Dubuque Avenue, California, 94080, us"
22,37.656933333333335,-122.39908148148149,"Gateway Boulevard, California, 94080, us"
23,37.656933333333335,-122.3961,"Eccles Avenue, California, 94080, us"
24,37.656933333333335,-122.39311851851852,"Forbes Boulevard, California, 94080, us"
25,37.656933333333335,-122.38715555555557,"Forbes Boulevard, California, 94080, us"
26,37.656933333333335,-122.3811925925926,"California, 94080, us"
27,37.656933333333335,-122.37522962962963,"California, 94128, us"
28,37.656933333333335,-122.36926666666668,"South San Francisco, California, us"
29,37.656933333333335,-122.3633037037037,"South San Francisco, California, us"
30,37.656933333333335,-122.35734074074074,"South San Francisco, California, us"
31,37.656933333333335,-122.35137777777778,"South San Francisco, California, us"
32,37.656933333333335,-122.34541481481482,"South San Francisco, California, us"
33,37.656933333333335,-122.33945185185185,"South San Francisco, California, us"
34,37.656933333333335,-122.3334888888889,"South San Francisco, California, us"
35,37.656933333333335,-122.32752592592593,"South San Francisco, California, us"
36,37.656933333333335,-122.32156296296296,"South San Francisco, California, us"
37,37.656933333333335,-122.3156,"South San Francisco, California, us"
38,37.656933333333335,-122.30963703703704,"South San Francisco, California, us"
39,37.656933333333335,-122.30367407407408,"South San Francisco, California, us"
40,37.656933333333335,-122.29771111111111,"South San Francisco, California, us"
41,37.656933333333335,-122.29174814814814,"South San Francisco, California, us"
42,37.656933333333335,-122.28578518518519,"South San Francisco, California, us"
43,37.656933333333335,-122.27982222222222,"South San Francisco, California, us"
44,37.656933333333335,-122.27385925925925,"South San Francisco, California, us"
45,37.656933333333335,-122.2678962962963,"South San Francisco, California, us"
46,37.656933333333335,-122.26193333333333,"South San Francisco, California, us"
47,37.662896296296296,-122.53026666666668,"California, us"
48,37.662896296296296,-122.52430370370371,"California, us"
49,37.662896296296296,-122.51834074074075,"California, us"
50,37.662896296296296,-122.51237777777779,"California, 94015, us"
51,37.662896296296296,-122.50641481481482,"California, 94015, us"
52,37.662896296296296,-122.50045185185186,"California, 94015, us"
53,37.662896296296296,-122.4944888888889,"Westline Drive, California, 94015, us"
54,37.662896296296296,-122.48852592592593,"Skyline Drive, California, 94015, us"
55,37.662896296296296,-122.48256296296297,"Edgewood Drive, California, 94044, us"
